date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:45	121/121	---MCZ	200	added ('OK')	text/plain	date:Mon,%2021%20Apr%202025%2014:14:44%20GMT	http://modelo18.ondatta.com.br/robots.txt		(from )
11:14:47	139747/139747	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2014:14:45%20GMT	http://modelo18.ondatta.com.br/	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/index.html	(from )
11:14:47	3106/3106	---M--	200	added ('OK')	text/css	etag:%22c22-626b777100cea%22	http://modelo18.ondatta.com.br/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-public.css?ver=3.2.7	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-public2c3d.css	(from http://modelo18.ondatta.com.br/)
11:14:48	27249/27249	---M--	200	added ('OK')	text/css	etag:%226a71-626b777100902%22	http://modelo18.ondatta.com.br/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-gdpr.css?ver=3.2.7	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-gdpr2c3d.css	(from http://modelo18.ondatta.com.br/)
11:14:48	59344/59344	---M--	200	added ('OK')	text/css	etag:%22e7d0-5c7b9a49a3500%22	http://modelo18.ondatta.com.br/wp-content/themes/contabil/assets/fonts/fontawesome/css/all.min.css?ver=5.15.1	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/themes/contabil/assets/fonts/fontawesome/css/all.min9e0b.css	(from http://modelo18.ondatta.com.br/)
11:14:49	10927/10927	---M--	200	added ('OK')	text/css	etag:%222aaf-5c7b9a49a3500%22	http://modelo18.ondatta.com.br/wp-content/themes/contabil/assets/css/third/simple-line-icons.min.css?ver=2.4.0	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/themes/contabil/assets/css/third/simple-line-icons.min8d5a.css	(from http://modelo18.ondatta.com.br/)
11:14:49	784/784	---MCZ	200	added ('OK')	application/rss+xml	etag:%229c181ffaff212313b71c61de6f9550de%22	http://modelo18.ondatta.com.br/comments/feed/	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/comments/feed/index.html	(from http://modelo18.ondatta.com.br/)
11:14:50	180736/180736	---M--	200	added ('OK')	text/css	etag:%222c200-5c7b9a49a3500%22	http://modelo18.ondatta.com.br/wp-content/themes/contabil/assets/css/style.min.css?ver=3.0.1	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/themes/contabil/assets/css/style.min41fe.css	(from http://modelo18.ondatta.com.br/)
11:14:51	28084/28084	---MCZ	200	added ('OK')	application/rss+xml	etag:%229c181ffaff212313b71c61de6f9550de%22	http://modelo18.ondatta.com.br/feed/	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/feed/index.html	(from http://modelo18.ondatta.com.br/)
11:14:51	60575/60575	---M--	200	added ('OK')	text/css	etag:%22ec9f-626b77696a584%22	http://modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.25.4	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/css/frontend.min401f.css	(from http://modelo18.ondatta.com.br/)
11:14:53	254/254	---M--	200	added ('OK')	text/css	etag:%22fe-626b77697e1ef%22	http://modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.25.4	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/css/widget-image.min401f.css	(from http://modelo18.ondatta.com.br/)
11:14:54	26793/26793	---M--	200	added ('OK')	text/css	etag:%2268a9-626b77f851dfd%22	http://modelo18.ondatta.com.br/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.25.2	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min7ed1.css	(from http://modelo18.ondatta.com.br/)
11:14:54	10094/10094	---M--	200	added ('OK')	text/css	etag:%22276e-626b77697c697%22	http://modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css?ver=3.25.4	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/css/widget-icon-box.min401f.css	(from http://modelo18.ondatta.com.br/)
11:14:55	600/600	---M--	200	added ('OK')	text/css	etag:%22258-626b77697bec7%22	http://modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.25.4	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/css/widget-heading.min401f.css	(from http://modelo18.ondatta.com.br/)
11:14:55	198/198	---M--	200	added ('OK')	text/css	etag:%22c6-626b7769e5e29%22	http://modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css?ver=3.25.4	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min401f.css	(from http://modelo18.ondatta.com.br/)
11:14:55	4875/4875	---M--	200	added ('OK')	text/css	etag:%22130b-626b7769833f8%22	http://modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.25.4	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/css/widget-social-icons.min401f.css	(from http://modelo18.ondatta.com.br/)
11:14:55	7068/7068	---M--	200	added ('OK')	text/css	etag:%221b9c-626b776965f33%22	http://modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min.css?ver=3.25.4	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min401f.css	(from http://modelo18.ondatta.com.br/)
11:14:56	19862/19862	---M--	200	added ('OK')	text/css	etag:%224d96-626b7769edb2a%22	http://modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.31.0	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min0fd8.css	(from http://modelo18.ondatta.com.br/)
11:14:56	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-626b776a0a81f%22	http://modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Meus%20Sites/contabilidade/modelo18.ondatta.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://modelo18.ondatta.com.br/)
